name;city;start_day;start_month;start_year;end_day;end_month;end_year;link
15th Annual Conference of the Italian Association for Cognitive Sciences;Pavia;17;11;2018;19;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333537
2018 Seminar on Linguistic Typology and the Expressions of Motion Events in Languages in China;Changshu;21;11;2018;23;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=313096
8th International Conference on Academic Studies in Human Educational and Social Sciences;Tirana, ALBANIA;14;11;2018;15;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343816
Linguistic Issues in Vietnam and Southeast Asia;Ho Chi Minh City;21;11;2018;22;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328276
Semantics and Philosophy in Europe 10;Barcelona, Catalonia;17;11;2018;19;11;2018;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335296
16th Old World Conference on Phonology;Verona;16;0;2019;18;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329116
2019 MLA Convention Session: Pathways to Paradigm Change: Critical Examinations of Prevailing Discourses and Ideologies in Second Language Education;Chicago/Illinois;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=320097
3rd International Conference on Teaching Grammar;Barcelona;23;0;2019;25;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=308676
4th Variation and Language Processing;Sydney, NSW;23;0;2019;25;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324236
6th Workshop on Portuguese as a Second Language - Acquisition and Teaching;Lisbon;18;0;2019;19;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338716
"AAAI Workshop on Affective Content Analysis &amp; Happiness Shared Task: Modeling Affect-in-Action";Honolulu, Hawaii;27;0;2019;28;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347617
American Dialect Society Annual Meeting;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325896
American Name Society;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336816
Bilingualism in the Hispanic and Lusophone World;Leiden;09;0;2019;11;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334816
CLIN 29: Computational Linguistics in The Netherlands;Groningen;31;0;2019;31;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345656
Community-based Language Research across the Americas;New York, NY;02;0;2019;03;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336996
Computer-Assisted Literary Translation workshop;Swansea;25;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352796
Conference On Asian Linguistic Anthropology 1;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=301076
Experimental Approaches to Cross-linguistic Variation in Island Phenomena;New York, New York;03;0;2019;07;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326676
Fifth International Workshop for Computational Linguistics of Uralic Languages;Tartu;07;0;2019;08;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338496
Fifth National Language Conference;Cuttack, Odisha,;19;0;2019;21;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349456
First(!) Annual Meeting of the North American Research Network in Historical Sociolinguistics;New York City;05;0;2019;05;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332436
Fremdsprachenlehrwerke in der Frühen Neuzeit: Perspektiven – Potentiale – Herausforderungen;Berlin;21;0;2019;22;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331036
Hybrid/Paradoxal Representations of Gender and Sexuality;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338356
Interdisciplinary Conference on the Prehistory of Transeurasian Millets and Beans, Languages and Genes;Jena, Thuringia;08;0;2019;11;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342896
International Perspectives on Assessing World Languages;Cairo;30;0;2019;31;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346976
JALT Hokkaido Winter Language Teaching Conference;Sapporo, Hokkaido;26;0;2019;27;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340376
Language and Post-queer Sexuality in East Asia;Siem Reap;23;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338376
L'apprenant en langues et dans les métiers de la traduction : source d'interrogations et de perspectives / Language learners and learning in the language and translation professions: questions pending and future avenues to explore;Rennes;31;0;2019;02;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325356
Las categorías gramaticales. Relaciones y diferencias, treinta años después;Madrid;30;0;2019;02;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347916
L’épilinguistique et le métalinguistique en linguistique énonciative;Paris Est-Marne La Vallée;17;0;2019;18;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335436
Linguistics and its Historical Forms of Organization and Production;Paris;24;0;2019;26;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328316
Linguistic Society of America 93rd Annual Meeting;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329876
Modern Language Association: Selected Topics in Romance Linguistics;Chicago, IL;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317056
Particles in German, English and Beyond;Saarbrücken (Saarland University);21;0;2019;22;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345396
Secrets of Success. Or: How to preserve a Verb Second word order?;Oslo;10;0;2019;11;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345916
Society for Computation in Linguistics Second Meeting;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=328816
Society for Pidgin and Creole Linguistics - Winter Conference 2019;New York;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334436
Spatial Patterns of Language Evolution;Zurich;24;0;2019;24;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341176
Teaching General Linguistics Classes - LSA Special Session;New York, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327696
The 9th International Conference on Han Characters Education and Research;Ho Chi Minh City University of Education, Vietnam;19;0;2019;21;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340396
The Society for the Study of Indigenous Languages of the Americas Winter Meeting 2019;New York City, NY;03;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322916
Workshop: Multilingualism, Contact and Documenting Endangered Languages;New York, New York;06;0;2019;06;0;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338196
11th International Conference on Middle English;Florence;05;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=315817
18th SLAT Interdisciplinary Roundtable;Tucson;08;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352076
1st FARMM Challenge Formal Approaches to Romance Microvariation and Microcontact;Barcelona;15;1;2019;15;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342436
29th Annual Graduate and Professional Symposium on Hispanic and Luso-Brazilian Literature, Language and Culture:;Tucson, AZ;22;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356476
2nd International Cyprus Undergraduate Linguistics Conference;Nicosia;16;1;2019;17;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345436
3rd Workshop on the Use of Computational Methods in the Study of Endangered Languages;Honolulu, Hawai'i;26;1;2019;27;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334236
40th Annual Southwest Popular/American Culture Association;Albuquerque, NM;20;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342856
45th Incontro di Grammatica Generativa;Padova;21;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347536
4th International Conference ‘From Theory to Practice in Language for Specific Purposes’;Zagreb;21;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335616
4th Intonation Workshop;Toronto, ON;15;1;2019;15;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348016
4th Workshop on Turkic and Languages in Contact with Turkic;New York, New York;16;1;2019;17;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340417
5th International Conference on the Teaching of French;San Juan;28;1;2019;02;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330116
6th National Symposium on Spanish as a Heritage Language;McAllen, Texas;21;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329896
7th International Conference on Endangered and Lesser Known Languages;kolkata;20;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329977
AISV Conference 2019: Audio Archives at the Crossroads of Speech Sciences, Digital Humanities and Digital Heritage;Arezzo;14;1;2019;16;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=338396
AItLA 2019: Minority Languages Between Localism and Globalization;Cagliari;21;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335976
American Association for the Advancement of Science;Washington DC;14;1;2019;17;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347176
Applied Winter Linguistics Conference 2019 (ALWC);Binghamton, New York;09;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345456
Australian Humour Studies Network conference;Melbourne, Victoria;06;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=326337
BLS Workshop: Countability Distinctions;Berkeley, CA;08;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350476
ConSOLE XVII 2019;Berlin;21;1;2019;23;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332316
Corpora for Language and Aging Research 4: Interaction, Methods, and Positions;Helsinki;27;1;2019;01;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332216
Crossing the Border between Spanish and English: Current issues, future perspectives, linguistic and literary insights;Ghent;05;1;2019;06;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331716
Explanation and Prediction in Linguistics. Formalist and Functionalist Approaches;Heidelberg, Baden-Württemberg;13;1;2019;14;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352716
First Conference of Indonesian Community for Forensic Linguistics;Pekanbaru, Riau Province;09;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355396
Giornate di Studi Scientifici sul Linguaggio II - 2019;Rovereto (TN);11;1;2019;12;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354716
Integration of Universities into International Academic Community: Tradition and Modern Tendencies;Ulyanovsk;14;1;2019;16;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341576
International Conference on Hindi as a Second / Foreign Language;Lisbon;06;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=323776
International Conference on Indigenous Languages, Societies and Cultures of India;Hyderabad, Telangana;21;1;2019;22;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343796
"International Conference on Language Documentation &amp; Conservation";Honolulu, Hawaiʻi;28;1;2019;03;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327796
International Conference on Pluricentricity vs. Pluriareality - Models, Varieties, Approaches;Münster;08;1;2019;10;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344116
International Mother Language Conference;Kitui County;20;1;2019;22;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355036
Language, Identity and Education in Multilingual Contexts;York;14;1;2019;16;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337856
Mobile Language Learning Experience;New York, NY;21;1;2019;22;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331856
Multimodale Kommunikation in den Hypermedien - Herausforderungen für die Deutschdidaktik;Bochum;06;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334676
National Conference on New Trends in Applied Linguistics and Translation Studies;Baharestan, Isfahan;21;1;2019;21;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335236
Natural Language Processing in Artificial Intelligence 2019;Prague;19;1;2019;21;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346376
Spanish Linguistics in North Carolina 2019;Chapel Hill, NC;09;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=341716
Specialised Discourse and Multimedia: Linguistic features and translation issues;Lecce;14;1;2019;16;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=324217
Task-based Teaching and the Place of Grammar in Secondary-School Foreign-Language Classes : Finding a Common Ground;Paris Nanterre;08;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325096
Texas Linguistics Society;Austin, Texas;22;1;2019;24;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=344736
The University of Alabama Languages Conference;Tuscaloosa, AL;08;1;2019;09;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343616
Time and Temporality in the Asian and European Modernity;Hyderabad, South India;15;1;2019;17;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325776
Transdisciplinary Approaches to Language Variation 2;Limassol;15;1;2019;16;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345496
Workshop in Cognitive Approaches in Language Learning and Bilingualism;University of Gothenburg;07;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=317076
XXXIX International VAKKI Symposium;Vaasa;07;1;2019;08;1;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332516
12th Toronto Undergraduate Linguistics Conference;Toronto;08;2;2019;10;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355356
16th Workshop in General Linguistics;Madison, WI;30;2;2019;31;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352936
20th Szklarska Poręba Workshop on the Roots of Pragmasemantics;Szklarska Poręba;01;2;2019;04;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353976
22nd Annual Ohio State University Congress on Hispanic and Lusophone Linguistics;Columbus, Ohio;29;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351716
25th Annual University of Texas Arlington Students Conference of Linguistics and TESOL;Arlington, TX;01;2;2019;02;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353516
2nd International Conference on Bilingualism;University of Malta Valletta Campus;25;2;2019;27;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=325456
2nd International Conference on Theoretical East Asian Psycholinguistics;Tsinghua University, Beijing;16;2;2019;17;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345556
"2nd Modern Linguistics &amp; Language Didactics Conference - Focus: Grammaticality Judgments &amp; Language Awareness";Bochum, NRW;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332376
32nd CUNY Conference on Human Sentence Processing;Boulder, Colorado;29;2;2019;31;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349576
41st Annual Meeting of the Deutsche Gesellschaft für Sprachwissenschaft;Bremen;06;2;2019;08;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331396
43rd Annual Penn Linguistics Conference;Philadelphia, PA;22;2;2019;24;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347996
4th International Conference: The Magic of Innovation: Integrative Trends in Linguistics and Foreign Language Teaching;Moscow;22;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340616
50 Jahre Speech Acts – Bilanz und Perspektiven;Bremen;05;2;2019;05;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=331196
6th Scarborough Undergraduate Linguistics Conference;Toronto, Ontario;01;2;2019;01;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356536
7th NTU Postgraduate Conference on Teaching Chinese as a Second Language;Taipei;23;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336676
8th Annual Hispanic and Luso-Brazilian Linguistics Conference;Tempe, Arizona;29;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354776
AESLA International Conference – University of Valladolid (Spain): Bilingualism and Languages in Contact;Valladolid;27;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335736
Apollonius and Priscian Colloquium Transmission, Translation, Tradition: History of Reception;Bordeaux;21;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330496
Applied Linguistics and Language Teaching International Conference and Exhibition 2019;Dubai;07;2;2019;09;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=353356
BAAL TEA SIG Conference 2019;London;29;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343356
Chinese Culture in the Global Context International Conference 2019;Hong Kong;13;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342556
Colloque Diachro IX Le français en diachronie;Salamanca;28;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=335096
Construcciones en español: contacto, variación y cambio;Berlin;27;2;2019;31;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=322516
Current Trends in Linguistics 2019;Hamburg;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340216
Descriptive Grammars and Typology: The Challenges of Writing Grammars of Underdescribed and Endangered Languages;Helsinki;27;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=330796
Digital Approaches to Teaching Historical Languages;Berlin;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349636
Diversity of Writing Systems: Embracing Multiple Perspectives. Association of Written Language and Literacy's 12th International Workshop;Cambridge;26;2;2019;28;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329336
Dominanz Macht Sprache;Cluj-Napoca;11;2;2019;12;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333016
Educating the Global Citizen – International Perspectives on Foreign Language Teaching in the Digital Age;Munich, Bavaria;25;2;2019;28;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=345756
Embodying Transitions Beings and Becomings;Madison, Wisconsin;06;2;2019;09;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348296
English in Contact;Fukuoka;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342996
English Studies at the Interface of Disciplines: Research and Practice - 2019;Skopje;21;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=332876
European Dialect Syntax (Edisyn) Workshop IX;Glasgow;22;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=350777
Forging Linguistic Identities;Towson, Maryland;14;2;2019;16;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=329096
Formal Approaches to South Asian Languages;Portland, Oregon;16;2;2019;17;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351476
Generative Approaches to Second Language Acquisition 15;Reno, NV;22;2;2019;24;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339656
Georgetown University Roundtable on Languages and Linguistics 2019;Washington, D.C.;29;2;2019;31;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356096
Hradec Králové Anglophone Conference 2019;Hradec Králové;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=348276
International Conference on Current Trends in Linguistics;Rouen;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=327437
International Conference on Education Quality 2019;Agadir;13;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339736
International Conference on Multilingualism and Multilingual Education;Bielefeld;21;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=343216
International Symposium on Linguistics, Cognition, and Culture;Belo Horizonte - MG;13;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=339036
International Workshop on Degrees and Grammar: An East Asian Perspective;Nanjing, Jiangsu;16;2;2019;17;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=340757
IV International Conference of Applied Linguistics in English and Spanish;Perez Zeledon, San Jose;27;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=334256
Jornadas de Formación de Profesores de Español en Hong Kong;Hong Kong;08;2;2019;09;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354836
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;Athens;14;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346496
Language Change in English and Beyond: Linguistic Theory and Historical Corpora;Athens;14;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346596
L’art des échanges culturels dans les littératures et les cultures de langue française;Victoria, BC;08;2;2019;09;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354956
Le Français en Jeu;Amsterdam;22;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=310616
Linguistic Investigations Beyond Language: Gestures, Body Movement and Primate Linguistics;Berlin;11;2;2019;12;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346936
Linguistics and Asian Languages;Poznań;15;2;2019;16;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347156
Local and Global: ‘Spanish(es),’ Identity and Space in US Cities;Washington, DC;21;2;2019;24;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333956
Master Class with Artemis Alexiadou;Thessaloniki;19;2;2019;19;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354496
New Methods and Trends in (Basque) Linguistics;Pamplona (Navarre);06;2;2019;07;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342616
Norddeutsches Linguistisches Kolloquium;Osnabrueck;28;2;2019;29;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=355996
Nordic Research on Accent, Acceptability and Acquisition;Kiel;21;2;2019;22;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=346377
Nouns - between syntax and semantics;Paris;29;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352476
Philological Society Early Career Researcher Forum;Oxford;08;2;2019;09;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=342196
Phonological Theory Agora;Nice;15;2;2019;16;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352896
Phraseology and Stylistics of Literary Language;Erlangen;13;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=333336
Purdue Linguistics, Literature, and Second Language Studies Conference;West Lafayette, IN;01;2;2019;03;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349936
Second Colloquium on Language Contact in Education: Multilingual Competences and Practices;Rabat;13;2;2019;14;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=347476
"Tabu: 6th Annual Graduate Conference of the Department of Spanish &amp; Portuguese - University of Minnesota";Minneapolis, MN;29;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=354576
The Creative Power of Metaphor;Oxford;29;2;2019;30;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336697
The Evolution of Language: Bridging the Natural and Cognitive Sciences;Zurich;04;2;2019;05;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351776
The Meaning of Numerals: Cognitive, Experimental, and Semantic Perspectives;ZAS, Berlin;27;2;2019;28;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=349236
Third Symposium on Amazonian Languages;Berkeley, CA;16;2;2019;17;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=356456
Translation and Identity - 10th Annual Graduate Student Conference in Translation Studies;Toronto, Ontario;02;2;2019;02;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351456
Translation and Language: Comparative Studies;Kyiv;27;2;2019;28;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=352296
VIII Annual Undergraduate Conference on Latin American and Iberian Studies;Cleveland, Tennessee;23;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351996
Western Interdisciplinary Student Symposium on Language Research;London, Ontario;15;2;2019;15;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=351576
Whither Reanalysis;Berlin;01;2;2019;02;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=336896
Workshop on Linguistic Minorities in Asia;Hong Kong;22;2;2019;23;2;2019;https://linguistlist.org/callconf/browse-conf-action.cfm?ConfID=337396
